Sample	theta_1A	theta_2B	theta_3CD	theta_4E	theta_5H	theta_6CDEBAH	theta_7CDEBA	theta_8CDEB	theta_9CDE	tau_6CDEBAH	tau_7CDEBA	tau_8CDEB	tau_9CDE	lnL
14	0.004323	0.00556	0.006128	0.005883	0.005363	0.009827	0.008997	0.008074	0.015395	0.014165	0.006829	0.005179	0.003403	-7853.389
15	0.004195	0.005108	0.006006	0.00404	0.005686	0.017411	0.005297	0.024039	0.047885	0.015388	0.007881	0.004484	0.003389	-7871.449
16	0.005953	0.005924	0.004175	0.007771	0.005987	0.012531	0.014005	0.016099	0.01592	0.010518	0.007095	0.00457	0.001845	-7871.88
17	0.006564	0.006023	0.006416	0.010104	0.005115	0.009839	0.006283	0.009244	0.009227	0.010525	0.007101	0.004504	0.003545	-7852.328
18	0.005553	0.005518	0.004672	0.003845	0.004976	0.019736	0.00681	0.024158	0.023949	0.014909	0.007194	0.004645	0.002492	-7857.36
19	0.005849	0.00305	0.004096	0.007612	0.004186	0.017119	0.0048	0.007724	0.019004	0.013214	0.006435	0.003365	0.000783	-7857.374
20	0.005247	0.003863	0.004817	0.006715	0.006772	0.007325	0.009629	0.008319	0.006883	0.015902	0.008515	0.003799	0.002788	-7868.978
21	0.002966	0.00609	0.006066	0.007003	0.006476	0.011956	0.005192	0.010778	0.011532	0.014272	0.00819	0.004634	0.002823	-7872.427
22	0.005492	0.005047	0.008093	0.005214	0.004321	0.027145	0.007308	0.005416	0.009016	0.011164	0.008434	0.005556	0.003368	-7886.859
23	0.004726	0.003517	0.004025	0.005441	0.004912	0.01568	0.009791	0.013392	0.007721	0.012673	0.006336	0.003918	0.002074	-7881.513
24	0.006356	0.006712	0.006218	0.005691	0.005387	0.010573	0.007972	0.010744	0.004926	0.014515	0.008096	0.004801	0.003355	-7854.618
25	0.007197	0.005294	0.007768	0.006535	0.006211	0.017918	0.0075	0.053953	0.008324	0.016079	0.006368	0.0062	0.001959	-7870.929
26	0.00323	0.005571	0.008175	0.017505	0.006615	0.010306	0.006705	0.034864	0.028477	0.013706	0.007315	0.005294	0.002328	-7883.613
27	0.004878	0.004037	0.006311	0.007052	0.005769	0.010396	0.00882	0.042071	0.018488	0.016752	0.005154	0.004476	0.00199	-7871.703
28	0.004194	0.006179	0.006868	0.005352	0.003901	0.010635	0.005343	0.016206	0.015394	0.015583	0.006513	0.00482	0.004138	-7870.459
29	0.003618	0.006139	0.00791	0.006315	0.005745	0.007101	0.003554	0.007926	0.005322	0.014607	0.008339	0.00444	0.00235	-7868.119
30	0.00477	0.004969	0.005395	0.008123	0.007345	0.013089	0.006372	0.012465	0.019401	0.013487	0.007803	0.004214	0.002428	-7869.585
31	0.005048	0.004331	0.00863	0.007051	0.006263	0.005977	0.005881	0.008268	0.017029	0.011303	0.007294	0.003886	0.003613	-7880.347
32	0.005304	0.003503	0.007416	0.014332	0.009164	0.011017	0.00844	0.016266	0.01424	0.011699	0.007191	0.003433	0.002387	-7865.451
33	0.004018	0.00661	0.010349	0.006423	0.003291	0.010997	0.00986	0.008863	0.008459	0.011789	0.008061	0.0048	0.002817	-7867.511
34	0.005815	0.005903	0.012259	0.004901	0.003633	0.006229	0.005751	0.012163	0.007971	0.013712	0.008069	0.004863	0.001696	-7877.725
35	0.004625	0.006288	0.008663	0.00647	0.00576	0.011427	0.004621	0.015631	0.007817	0.016261	0.008206	0.004047	0.002095	-7862.995
36	0.003446	0.003867	0.012647	0.008072	0.004667	0.005039	0.008232	0.008443	0.022171	0.013744	0.00611	0.004274	0.0036	-7861.57
37	0.005777	0.004112	0.004142	0.008214	0.005221	0.013094	0.010169	0.0141	0.011326	0.012592	0.008035	0.005926	0.002364	-7875.481
38	0.005793	0.004631	0.004709	0.006015	0.007404	0.016052	0.006742	0.025861	0.01826	0.012877	0.0064	0.00421	0.002753	-7879.557
39	0.004588	0.00413	0.005432	0.003	0.00606	0.012653	0.006949	0.007497	0.009087	0.011704	0.006091	0.005613	0.002091	-7870.766
40	0.007753	0.004412	0.006509	0.005361	0.004362	0.011153	0.007135	0.005323	0.014607	0.013346	0.006723	0.006247	0.005091	-7873.269
41	0.004415	0.005358	0.008875	0.005117	0.005109	0.011237	0.010794	0.008577	0.014902	0.013214	0.006432	0.00459	0.003935	-7868.999
42	0.004465	0.004743	0.009664	0.007667	0.005274	0.010402	0.005781	0.012496	0.013476	0.015591	0.009634	0.006202	0.00451	-7871.516
43	0.005687	0.003327	0.00694	0.005576	0.005072	0.008766	0.004468	0.01708	0.008414	0.012398	0.006424	0.003854	0.002697	-7871.215
44	0.006101	0.004209	0.009187	0.007679	0.005268	0.007841	0.007511	0.011412	0.022961	0.013078	0.008864	0.005429	0.003457	-7881.799
45	0.003899	0.004967	0.006731	0.006447	0.005872	0.012401	0.007582	0.015157	0.010089	0.015562	0.006916	0.005959	0.003259	-7857.577
46	0.004804	0.004299	0.006968	0.006416	0.004694	0.013554	0.006139	0.010983	0.011421	0.012166	0.005861	0.003936	0.003717	-7863.897
47	0.004843	0.005408	0.006977	0.004725	0.006076	0.011961	0.004767	0.014735	0.006334	0.013228	0.008261	0.004704	0.003589	-7883.491
48	0.004205	0.00689	0.007188	0.013	0.00786	0.025556	0.01147	0.009413	0.008426	0.014049	0.008168	0.006238	0.002672	-7854.999
49	0.005491	0.004562	0.005683	0.008146	0.007087	0.024591	0.008023	0.007254	0.009517	0.014316	0.006581	0.004693	0.003457	-7855.523
50	0.004369	0.004132	0.01017	0.008401	0.005266	0.014811	0.009382	0.005826	0.007542	0.010086	0.007517	0.005928	0.002736	-7872.425
51	0.005406	0.003721	0.008241	0.003588	0.005536	0.00562	0.010556	0.016195	0.01266	0.010496	0.006161	0.003715	0.001714	-7890.364
52	0.0065	0.004458	0.009826	0.004125	0.004741	0.010921	0.004547	0.018901	0.005119	0.01622	0.006293	0.003666	0.00261	-7877.664
53	0.006662	0.007398	0.011226	0.010155	0.006209	0.011752	0.004822	0.014182	0.008662	0.015904	0.008305	0.004531	0.003006	-7859.965
54	0.0051	0.005448	0.009658	0.006453	0.004912	0.009198	0.005819	0.011393	0.010685	0.016433	0.00731	0.004453	0.003339	-7853.239
55	0.004789	0.004974	0.006898	0.008488	0.005257	0.006491	0.008183	0.011865	0.006486	0.01604	0.006201	0.004124	0.001773	-7879.632
56	0.004236	0.006222	0.007092	0.004425	0.004893	0.010213	0.006195	0.010921	0.007675	0.013466	0.007285	0.004548	0.002506	-7854.474
57	0.006431	0.005113	0.00818	0.003549	0.005677	0.03559	0.008248	0.010837	0.012238	0.014524	0.007532	0.00435	0.002967	-7869.401
58	0.006647	0.004657	0.004638	0.012687	0.004846	0.013318	0.009322	0.007605	0.016675	0.01662	0.006023	0.004767	0.002106	-7871.174
59	0.007454	0.004119	0.012178	0.003873	0.004849	0.006199	0.009343	0.009061	0.01647	0.013392	0.006426	0.004614	0.003418	-7859.112
60	0.00789	0.004848	0.005859	0.005897	0.005652	0.008404	0.005558	0.007424	0.007158	0.013462	0.006733	0.004977	0.002438	-7865.577
61	0.008805	0.005682	0.008982	0.008271	0.005891	0.012658	0.008123	0.025224	0.006163	0.015858	0.007531	0.005941	0.004063	-7873.63
62	0.004513	0.00496	0.006103	0.006797	0.004512	0.01285	0.004523	0.010142	0.004409	0.014935	0.009599	0.004887	0.003687	-7864.896
63	0.005166	0.004187	0.005258	0.009369	0.00597	0.01083	0.006949	0.018146	0.01242	0.014782	0.006469	0.00448	0.00182	-7857.938
64	0.005883	0.003961	0.005968	0.006608	0.006065	0.009519	0.004262	0.010008	0.011668	0.014698	0.008037	0.004556	0.002503	-7864.768
65	0.005785	0.003931	0.005352	0.005471	0.004815	0.02209	0.010233	0.017895	0.014497	0.01068	0.004732	0.003757	0.002194	-7857.307
66	0.005177	0.004395	0.007052	0.009863	0.005004	0.019403	0.0094	0.014548	0.007001	0.010134	0.006117	0.003041	0.002077	-7865.681
67	0.009545	0.004183	0.005653	0.004245	0.005437	0.015723	0.006017	0.015414	0.013621	0.011545	0.006204	0.003611	0.001187	-7852.192
68	0.004268	0.006545	0.00505	0.003125	0.004428	0.01465	0.006209	0.012209	0.013903	0.013314	0.006631	0.004752	0.001188	-7857.584
69	0.006713	0.006065	0.005724	0.002696	0.005155	0.012534	0.009705	0.014363	0.026355	0.015633	0.007622	0.004524	0.001668	-7866.175
70	0.007788	0.00456	0.008475	0.005588	0.004872	0.01565	0.007223	0.015098	0.021912	0.014472	0.006853	0.004191	0.001922	-7849.062
71	0.004362	0.005448	0.008822	0.006074	0.005488	0.00489	0.005442	0.007146	0.006319	0.013711	0.006387	0.004742	0.003059	-7882.202
72	0.006459	0.00672	0.007927	0.007206	0.004591	0.008177	0.008115	0.007434	0.006702	0.012103	0.005545	0.005471	0.002518	-7872.544
73	0.007074	0.005157	0.006335	0.005818	0.00524	0.018311	0.005239	0.013396	0.008324	0.00983	0.006571	0.00413	0.003039	-7871.951
74	0.004187	0.006994	0.007239	0.006966	0.004646	0.022706	0.007363	0.018322	0.014586	0.014651	0.008098	0.004994	0.003462	-7877.265
75	0.004605	0.005442	0.005662	0.016652	0.005189	0.008993	0.009463	0.01088	0.005553	0.012538	0.006667	0.003755	0.002618	-7852.569
76	0.006612	0.006217	0.006011	0.006341	0.004125	0.007276	0.008205	0.008036	0.012803	0.017151	0.006666	0.004324	0.001827	-7873.721
77	0.006012	0.006686	0.004876	0.006215	0.005962	0.009753	0.012323	0.019937	0.011169	0.014505	0.006184	0.005433	0.001486	-7881.594
78	0.004028	0.003518	0.006642	0.009491	0.005942	0.007158	0.005827	0.013858	0.009409	0.017674	0.009395	0.005281	0.001941	-7876.001
79	0.00517	0.004291	0.007719	0.004952	0.005474	0.017573	0.006944	0.009057	0.018288	0.011716	0.007268	0.005561	0.003737	-7878.135
80	0.005182	0.005925	0.006921	0.007911	0.004945	0.011029	0.008336	0.008776	0.022751	0.015793	0.008246	0.004955	0.00392	-7861.868
81	0.005459	0.004382	0.006232	0.008728	0.006744	0.008585	0.010709	0.013959	0.009666	0.014543	0.006537	0.004905	0.003574	-7883.967
82	0.00442	0.005413	0.007971	0.007767	0.0057	0.029413	0.006667	0.008385	0.003443	0.010842	0.008417	0.004819	0.003599	-7875.058
83	0.004527	0.005142	0.004332	0.005863	0.005838	0.006343	0.00884	0.021621	0.025253	0.015838	0.007013	0.004168	0.002371	-7876.714
84	0.008433	0.005907	0.009457	0.00703	0.0063	0.006127	0.009186	0.014457	0.040226	0.017342	0.005814	0.004165	0.002258	-7889.784
85	0.006812	0.005775	0.008109	0.008068	0.008185	0.012776	0.006816	0.019322	0.033539	0.013448	0.005071	0.003391	0.003266	-7857.935
86	0.006009	0.005086	0.006392	0.005029	0.004235	0.005693	0.003949	0.025895	0.006717	0.014669	0.006218	0.003301	0.002273	-7854.348
87	0.00466	0.003947	0.006285	0.006347	0.005164	0.009726	0.009231	0.009726	0.009381	0.014483	0.007092	0.00597	0.003726	-7847.869
88	0.005798	0.005731	0.007329	0.009881	0.004999	0.010987	0.005312	0.005999	0.01455	0.016912	0.009713	0.004734	0.004448	-7853.57
89	0.004559	0.0072	0.007834	0.008389	0.006194	0.008763	0.006156	0.022385	0.010638	0.015811	0.005691	0.005142	0.003757	-7878.276
90	0.005888	0.003918	0.009043	0.007657	0.004085	0.013203	0.006163	0.018539	0.021921	0.012886	0.006719	0.003878	0.003552	-7840.449
91	0.005024	0.003365	0.00563	0.005496	0.008168	0.007436	0.011012	0.007671	0.010653	0.013362	0.005535	0.003925	0.003174	-7870.045
92	0.00484	0.005474	0.008479	0.010167	0.006921	0.008642	0.009096	0.009109	0.016674	0.01455	0.007504	0.004279	0.003136	-7871.549
93	0.005358	0.004849	0.005255	0.005787	0.006132	0.006895	0.00814	0.008848	0.030204	0.014576	0.009058	0.003924	0.002856	-7866.423
94	0.004298	0.005569	0.006267	0.005387	0.005016	0.00707	0.007465	0.01164	0.014696	0.015835	0.005889	0.004158	0.003352	-7882.655
95	0.004217	0.006735	0.005568	0.008707	0.00424	0.006924	0.006454	0.013414	0.01304	0.012429	0.006887	0.004627	0.002306	-7886.034
96	0.004562	0.005562	0.006145	0.004914	0.006823	0.013168	0.004736	0.015587	0.015261	0.01338	0.007757	0.004328	0.003124	-7861.376
97	0.004763	0.004591	0.004393	0.012485	0.006649	0.015796	0.009651	0.012672	0.009868	0.011228	0.006063	0.005624	0.001322	-7854.403
98	0.005525	0.004979	0.006888	0.006522	0.006213	0.009138	0.010138	0.010607	0.007882	0.011048	0.007047	0.003945	0.003662	-7865.557
99	0.004819	0.005378	0.005466	0.00638	0.005587	0.011787	0.010978	0.01292	0.010447	0.015151	0.00503	0.003388	0.001671	-7855.778
100	0.005052	0.00505	0.006837	0.027133	0.006962	0.007076	0.006281	0.008093	0.005612	0.014159	0.00735	0.005378	0.001947	-7864.938
101	0.003536	0.005231	0.006814	0.004497	0.005168	0.021978	0.00495	0.014451	0.009742	0.012854	0.006351	0.004865	0.00286	-7860.219
102	0.003834	0.004886	0.003989	0.008017	0.005773	0.006822	0.010587	0.0165	0.011698	0.012571	0.00493	0.004572	0.002401	-7859.932
103	0.006045	0.004098	0.006478	0.005181	0.0039	0.012275	0.005971	0.006298	0.023918	0.015068	0.005997	0.00372	0.002935	-7846.848
104	0.004304	0.004423	0.00675	0.006949	0.005172	0.007143	0.006054	0.011694	0.018521	0.012713	0.006362	0.004027	0.002841	-7838.87
105	0.004636	0.004824	0.008329	0.010757	0.004214	0.021278	0.006346	0.011814	0.013614	0.012402	0.007294	0.005903	0.003551	-7869.916
106	0.004265	0.004374	0.006163	0.005601	0.004175	0.013691	0.006656	0.005935	0.017712	0.015763	0.007318	0.004692	0.003012	-7870.432
107	0.004468	0.006039	0.005933	0.004547	0.005212	0.009059	0.006662	0.007331	0.019002	0.016463	0.006746	0.003887	0.003361	-7858.498
108	0.005674	0.004221	0.008582	0.007957	0.005981	0.010914	0.004237	0.018375	0.016152	0.015951	0.007758	0.004963	0.004337	-7857.443
109	0.005035	0.004053	0.007832	0.01178	0.004493	0.015742	0.009852	0.016223	0.011027	0.012069	0.005605	0.003787	0.002027	-7855.498
110	0.004568	0.006404	0.006387	0.005342	0.004099	0.009453	0.009074	0.010915	0.027689	0.015718	0.007947	0.003108	0.002178	-7857.692
111	0.005591	0.0055	0.008714	0.007035	0.006501	0.010973	0.006837	0.013174	0.010624	0.015942	0.007576	0.004156	0.00413	-7872.998
112	0.003716	0.003896	0.005734	0.011138	0.005877	0.010133	0.007531	0.009584	0.015798	0.01421	0.007379	0.003964	0.003492	-7859.627
113	0.005576	0.003345	0.006857	0.006598	0.004503	0.008222	0.006388	0.004592	0.04647	0.015153	0.007133	0.005532	0.004677	-7876.791
114	0.006061	0.004249	0.005204	0.006602	0.006853	0.012682	0.006975	0.009026	0.031221	0.014807	0.00732	0.004831	0.002071	-7874.222
115	0.004687	0.004452	0.004504	0.006458	0.006517	0.025386	0.007046	0.01473	0.015955	0.012804	0.0076	0.004166	0.001779	-7864.411
116	0.004259	0.005232	0.005645	0.009246	0.003977	0.014175	0.003954	0.018663	0.010455	0.013043	0.007022	0.005392	0.005102	-7888.602
117	0.004559	0.00587	0.00716	0.003109	0.004936	0.01117	0.005638	0.008531	0.011933	0.011623	0.008707	0.005937	0.004256	-7864.951
118	0.005036	0.004809	0.004631	0.006588	0.005363	0.009089	0.010885	0.0102	0.023171	0.015076	0.006732	0.005415	0.002803	-7859.775
119	0.005283	0.003346	0.008382	0.009617	0.006238	0.007404	0.008114	0.013155	0.017982	0.016663	0.007068	0.005578	0.003282	-7863.598
120	0.003968	0.004461	0.008029	0.009617	0.005084	0.010003	0.005927	0.01097	0.014609	0.013996	0.006696	0.004701	0.003612	-7850.914
121	0.005022	0.005819	0.007086	0.006017	0.00385	0.011705	0.004214	0.014354	0.01962	0.015965	0.009024	0.004513	0.003999	-7867.493
122	0.00568	0.004766	0.006091	0.006675	0.005935	0.014137	0.009206	0.017892	0.012021	0.015372	0.009138	0.005408	0.002559	-7896.557
123	0.006456	0.00475	0.004939	0.013171	0.004943	0.006393	0.00749	0.00815	0.037138	0.015187	0.007052	0.003272	0.001546	-7866.861
124	0.006902	0.003739	0.004909	0.007113	0.007061	0.009485	0.008131	0.009208	0.011348	0.012946	0.007162	0.003314	0.002594	-7864.993
125	0.004939	0.004257	0.005264	0.007498	0.007008	0.01962	0.011674	0.008986	0.009175	0.012343	0.006687	0.003388	0.003051	-7888.534
126	0.004707	0.006965	0.005834	0.008947	0.007397	0.008336	0.005199	0.019834	0.009945	0.012029	0.007504	0.003866	0.002356	-7842.243
127	0.003213	0.004736	0.005634	0.004881	0.004334	0.019853	0.011256	0.111956	0.015695	0.014879	0.004978	0.00424	0.002823	-7859.359
128	0.008357	0.005661	0.006678	0.004792	0.004982	0.006759	0.008712	0.14774	0.007359	0.011943	0.005995	0.005491	0.003187	-7867.184
129	0.005426	0.005682	0.004591	0.007073	0.00426	0.022344	0.007943	0.055982	0.008547	0.0098	0.005892	0.005813	0.002557	-7871.622
130	0.004147	0.004949	0.009201	0.005139	0.005169	0.011606	0.011353	0.071993	0.014495	0.010987	0.00537	0.004268	0.003016	-7862.485
131	0.005482	0.006471	0.006126	0.003577	0.006168	0.017754	0.006013	0.009272	0.045061	0.010878	0.006839	0.004272	0.002264	-7854.166
132	0.005891	0.006473	0.004998	0.006687	0.005002	0.013104	0.003723	0.017191	0.010383	0.008029	0.006501	0.003033	0.001844	-7853.355
133	0.005259	0.007874	0.004508	0.006746	0.005773	0.008887	0.008021	0.014133	0.015786	0.008935	0.006389	0.004366	0.002087	-7856.704
134	0.006012	0.003423	0.007492	0.004871	0.005549	0.007346	0.006827	0.006976	0.010194	0.010815	0.007875	0.004618	0.003744	-7873.305
135	0.006788	0.004606	0.008094	0.006278	0.00542	0.012817	0.012209	0.006878	0.028472	0.016307	0.008156	0.004736	0.002645	-7864.702
136	0.004622	0.004731	0.006492	0.005728	0.003334	0.012374	0.004686	0.007165	0.019018	0.01192	0.006534	0.004378	0.002972	-7867.004
137	0.004885	0.004055	0.007282	0.00809	0.006681	0.010272	0.003519	0.007525	0.021969	0.012358	0.008052	0.003798	0.003666	-7863.069
138	0.004937	0.003916	0.009382	0.002994	0.006728	0.005012	0.009256	0.013853	0.033372	0.012962	0.007596	0.003652	0.00302	-7877.593
139	0.007284	0.004337	0.010368	0.005104	0.004522	0.013342	0.005452	0.011929	0.024526	0.014307	0.008081	0.004262	0.003765	-7878.501
140	0.006357	0.004155	0.009985	0.008037	0.004006	0.00875	0.008117	0.021811	0.017679	0.013666	0.006757	0.004077	0.002817	-7879.583
141	0.004882	0.003915	0.0059	0.006675	0.005792	0.013186	0.006544	0.028535	0.008656	0.013413	0.005662	0.004348	0.002068	-7863.938
142	0.00634	0.004722	0.009735	0.004237	0.00693	0.010234	0.004654	0.009891	0.006196	0.016293	0.00797	0.004657	0.003034	-7872.165
143	0.004772	0.00532	0.011963	0.003619	0.005717	0.007862	0.008966	0.039324	0.013339	0.012411	0.006181	0.005066	0.002949	-7856.643
144	0.006151	0.004237	0.013622	0.005158	0.004358	0.007294	0.008811	0.011485	0.007092	0.014276	0.005682	0.005223	0.003153	-7873.951
145	0.004038	0.003915	0.006741	0.005982	0.004484	0.011954	0.004753	0.009971	0.011153	0.014351	0.005382	0.004045	0.00225	-7863.595
146	0.005359	0.003833	0.008158	0.004829	0.004799	0.014885	0.0036	0.014537	0.019784	0.014819	0.007432	0.003891	0.002638	-7851.776
147	0.004766	0.005519	0.00612	0.003302	0.005873	0.015471	0.005214	0.009454	0.011568	0.012529	0.006061	0.003367	0.002881	-7868.164
148	0.005535	0.004801	0.007231	0.010994	0.005699	0.00758	0.007472	0.008504	0.049344	0.015848	0.006453	0.004273	0.003971	-7874.925
149	0.005562	0.004234	0.006949	0.004985	0.005468	0.014583	0.005578	0.022216	0.007511	0.012498	0.00763	0.00406	0.003748	-7853.828
150	0.00429	0.006298	0.006941	0.004203	0.005234	0.01246	0.005003	0.007409	0.028961	0.013149	0.006588	0.003711	0.002119	-7860.276
151	0.004517	0.00745	0.005547	0.006061	0.007758	0.008624	0.005094	0.016346	0.008421	0.019272	0.008698	0.005031	0.004313	-7860.643
152	0.004278	0.004737	0.006714	0.004469	0.003919	0.010721	0.01042	0.010705	0.075824	0.017598	0.009181	0.005677	0.003234	-7877.603
153	0.004612	0.005526	0.008034	0.005074	0.004065	0.016476	0.017445	0.011401	0.011384	0.014058	0.009769	0.005325	0.00479	-7877.226
154	0.004605	0.007431	0.006844	0.004891	0.004131	0.006629	0.004851	0.010344	0.020494	0.011225	0.007697	0.004301	0.003072	-7859.092
155	0.006431	0.006911	0.009053	0.007285	0.00477	0.012725	0.006462	0.004628	0.011079	0.011902	0.007447	0.005553	0.003142	-7871.611
156	0.004295	0.006274	0.00505	0.00968	0.004618	0.00658	0.003867	0.022921	0.010522	0.013726	0.006512	0.003526	0.001847	-7865.907
157	0.004902	0.005617	0.004826	0.004922	0.004067	0.013043	0.009322	0.011649	0.010104	0.017032	0.00617	0.005912	0.001865	-7850.976
158	0.006863	0.004147	0.007374	0.004205	0.005261	0.008457	0.009989	0.007186	0.008235	0.015955	0.008323	0.005644	0.004049	-7884.079
159	0.005175	0.006766	0.006212	0.007863	0.005532	0.006076	0.004942	0.009178	0.007656	0.015666	0.007765	0.004714	0.003105	-7861.192
160	0.005799	0.007636	0.006727	0.005577	0.004128	0.008343	0.009553	0.006241	0.012086	0.013382	0.006875	0.004445	0.004162	-7866.866
161	0.00476	0.004967	0.00738	0.006986	0.003966	0.015627	0.005986	0.012437	0.014812	0.015103	0.008686	0.006181	0.004175	-7870.464
162	0.007287	0.004131	0.007418	0.006011	0.002908	0.010394	0.005111	0.010751	0.019747	0.012514	0.00736	0.005124	0.002489	-7848.85
163	0.00712	0.004075	0.005054	0.003777	0.00628	0.013007	0.00843	0.008798	0.015914	0.015845	0.007944	0.004885	0.001641	-7857.731
164	0.004577	0.004924	0.007028	0.005599	0.0048	0.014957	0.010623	0.025853	0.012292	0.01507	0.006856	0.004127	0.002998	-7871.862
165	0.00457	0.003271	0.004577	0.006988	0.009663	0.012717	0.01172	0.019924	0.016248	0.014289	0.005917	0.004007	0.00246	-7882.914
166	0.004176	0.003369	0.006605	0.007499	0.007041	0.01081	0.006486	0.011529	0.014412	0.021547	0.006992	0.003434	0.002356	-7847.413
167	0.004493	0.005837	0.006275	0.008439	0.006538	0.010998	0.006427	0.011246	0.011387	0.014195	0.005963	0.004273	0.002733	-7849.165
168	0.005028	0.005304	0.004959	0.014355	0.00549	0.012446	0.003654	0.012829	0.008641	0.015721	0.008508	0.004041	0.002506	-7866.731
169	0.005042	0.005487	0.006163	0.008281	0.004374	0.008548	0.006245	0.017679	0.011368	0.017088	0.008004	0.004843	0.00236	-7841.117
170	0.006725	0.004782	0.006832	0.004244	0.003656	0.00871	0.007949	0.009462	0.009401	0.016312	0.006643	0.004664	0.00332	-7851.915
171	0.006041	0.005019	0.004151	0.009588	0.005124	0.025638	0.00545	0.006915	0.018089	0.012215	0.00717	0.004296	0.002447	-7870.457
172	0.006577	0.00443	0.006896	0.004336	0.007132	0.016646	0.008288	0.005268	0.011601	0.008389	0.006224	0.004529	0.00277	-7860.418
173	0.006468	0.004239	0.008436	0.004909	0.00513	0.014605	0.010332	0.011786	0.025256	0.008708	0.006615	0.004623	0.002462	-7870.988
174	0.004713	0.005196	0.005347	0.005159	0.007838	0.013603	0.006592	0.014501	0.009911	0.009009	0.00639	0.00487	0.003116	-7881.245
175	0.004902	0.004435	0.006212	0.007508	0.004598	0.009096	0.006191	0.013831	0.01071	0.012169	0.006133	0.004139	0.003505	-7867.152
176	0.005556	0.005645	0.006472	0.003957	0.003944	0.014523	0.008818	0.007426	0.01372	0.010863	0.006879	0.004541	0.002537	-7857.911
177	0.00488	0.004688	0.00634	0.00638	0.004136	0.011412	0.006539	0.024201	0.012268	0.01176	0.008483	0.004655	0.003503	-7862.67
178	0.005033	0.005085	0.005297	0.003862	0.004091	0.007956	0.007254	0.013877	0.013883	0.011567	0.006793	0.005531	0.002544	-7861.029
179	0.004151	0.004373	0.006365	0.004014	0.00555	0.009058	0.010037	0.009517	0.016307	0.014427	0.007258	0.00557	0.003256	-7858.876
180	0.004695	0.005887	0.004126	0.009652	0.004459	0.012103	0.007485	0.011515	0.018537	0.015199	0.007382	0.004808	0.002938	-7858.936
181	0.005761	0.006987	0.007368	0.004888	0.004956	0.005551	0.004586	0.019669	0.008464	0.01974	0.010434	0.005278	0.003521	-7862.719
182	0.006429	0.003374	0.005442	0.006732	0.003649	0.007728	0.007127	0.015816	0.015333	0.0143	0.006545	0.005443	0.003153	-7855.363
183	0.005981	0.004962	0.004725	0.006935	0.006264	0.01455	0.01008	0.00927	0.029263	0.014808	0.005993	0.003757	0.003382	-7865.473
184	0.00585	0.004767	0.005333	0.005687	0.006127	0.011398	0.004122	0.01096	0.028345	0.013036	0.007144	0.0034	0.003271	-7891.345
185	0.005146	0.004187	0.006635	0.009317	0.005104	0.008477	0.00548	0.009239	0.021511	0.014307	0.006911	0.004428	0.00369	-7865.031
186	0.006706	0.003695	0.005855	0.006595	0.004504	0.010832	0.00542	0.013445	0.009694	0.014571	0.007094	0.003635	0.002438	-7860.221
187	0.005382	0.006331	0.010206	0.004237	0.004686	0.007034	0.004967	0.014048	0.010816	0.013939	0.006275	0.003194	0.002541	-7857.321
