Sample	tau0	mtheta	nspecies
119	0.016922	0.010353	5
120	0.016719	0.00944988888888889	5
121	0.011693	0.00968322222222222	5
122	0.013891	0.00901455555555556	5
123	0.015174	0.0102498181818182	6
124	0.014874	0.0117934545454545	6
125	0.014419	0.0122118181818182	6
126	0.015591	0.0113962727272727	6
127	0.01787	0.00951077777777778	5
128	0.014148	0.0101253333333333	5
129	0.012686	0.009704	5
130	0.017933	0.0133801818181818	6
131	0.013588	0.00939755555555555	5
132	0.015234	0.0129826363636364	6
133	0.018423	0.0153062727272727	6
134	0.013909	0.00900433333333333	5
135	0.013127	0.00729377777777778	5
136	0.017254	0.0131131111111111	5
137	0.015249	0.0157876666666667	5
138	0.013556	0.00908544444444444	5
139	0.015629	0.00916033333333333	5
140	0.01185	0.0104724444444444	5
141	0.013311	0.0129382727272727	6
142	0.013195	0.0111907777777778	5
143	0.015007	0.0107948888888889	5
144	0.015236	0.00774866666666667	5
145	0.014604	0.00880822222222222	5
146	0.012069	0.0102725555555556	5
147	0.01637	0.0112208888888889	5
148	0.014826	0.0104466363636364	6
149	0.011089	0.009149	5
150	0.013247	0.00913966666666667	5
151	0.011109	0.0103033636363636	6
152	0.012155	0.00938211111111111	5
153	0.012609	0.00943988888888889	5
154	0.01647	0.0103753333333333	5
155	0.016386	0.0103867777777778	5
156	0.014897	0.00841244444444444	5
157	0.013572	0.00767655555555556	5
158	0.014897	0.0103258181818182	6
159	0.014924	0.00896590909090909	6
160	0.015995	0.0129242222222222	5
161	0.015464	0.00969633333333333	5
162	0.011835	0.0101444444444444	5
163	0.013881	0.0112520909090909	6
164	0.015072	0.00895309090909091	6
165	0.014786	0.0102156666666667	5
166	0.013436	0.00972711111111111	5
167	0.013095	0.0153777272727273	6
168	0.010949	0.0125521818181818	6
169	0.008955	0.0105914444444444	5
170	0.011524	0.010305	6
171	0.013701	0.00956918181818182	6
172	0.015606	0.00835181818181818	6
173	0.011461	0.00944044444444444	5
174	0.013166	0.0105188181818182	6
175	0.013172	0.0106829090909091	6
176	0.013332	0.00895366666666667	5
177	0.013623	0.010143	5
178	0.014704	0.008678	6
179	0.015842	0.00925444444444444	5
180	0.0143	0.00925255555555556	5
181	0.014169	0.00956088888888889	5
182	0.012293	0.00980255555555556	5
183	0.013679	0.00850766666666667	5
184	0.01249	0.00757111111111111	5
185	0.012348	0.00851111111111111	5
186	0.014553	0.00923311111111111	5
187	0.016007	0.00949588888888889	5
188	0.012619	0.009611	5
189	0.014344	0.0106434444444444	5
190	0.01137	0.00912077777777778	5
191	0.011843	0.00819044444444444	5
192	0.013999	0.00930854545454545	6
193	0.013743	0.0101196363636364	6
194	0.011595	0.0112254444444444	5
195	0.010438	0.00705455555555556	5
196	0.01212	0.0101184545454545	6
197	0.014465	0.00944818181818182	6
198	0.01464	0.00929522222222222	5
199	0.010443	0.0114123636363636	6
200	0.012056	0.00924490909090909	6
201	0.012322	0.00835972727272727	6
202	0.013034	0.009005	5
203	0.016718	0.0105611111111111	5
204	0.012642	0.00853433333333333	5
205	0.012775	0.00995777777777778	5
206	0.010139	0.0103354545454545	6
207	0.010246	0.0106683333333333	5
208	0.013859	0.00937533333333333	5
209	0.015774	0.00900054545454545	6
210	0.013177	0.0118786363636364	6
211	0.013409	0.00952063636363636	6
212	0.014836	0.00976836363636364	6
213	0.015917	0.00915572727272727	6
214	0.013398	0.0113123333333333	5
215	0.015848	0.0104285555555556	5
216	0.017274	0.0104938181818182	6
217	0.014823	0.0120603333333333	5
218	0.016362	0.00978255555555555	5
219	0.014873	0.00955455555555556	5
220	0.015682	0.00939155555555556	5
221	0.012822	0.0118361111111111	5
222	0.012772	0.0115206363636364	6
223	0.014943	0.00920563636363636	6
224	0.016828	0.011041	6
225	0.013374	0.00941144444444444	5
226	0.015066	0.00969777777777778	5
