Sample	theta_1A	theta_2B	theta_3C.D	theta_4E	theta_5H	theta_6AEC.DBH	theta_7AEC.DB	theta_8EC.DB	theta_9EC.D	tau_6AEC.DBH	tau_7AEC.DB	tau_8EC.DB	tau_9EC.D	lnL
139	0.004984	0.003856	0.007712	0.005343	0.004055	0.008332	0.008725	0.009541	0.019718	0.008698	0.006047	0.005311	0.00276	-7864.726
140	0.005776	0.00571	0.007081	0.00752	0.004818	0.024934	0.009749	0.008301	0.018415	0.011458	0.006776	0.00493	0.001982	-7878.334
141	0.005863	0.004871	0.005772	0.020761	0.006287	0.008457	0.006711	0.010984	0.022223	0.015202	0.00681	0.0057	0.00267	-7872.348
142	0.006079	0.005234	0.006795	0.008115	0.006615	0.011936	0.006839	0.015446	0.088181	0.017405	0.009423	0.006045	0.003839	-7879.65
143	0.004724	0.00397	0.007219	0.006978	0.004408	0.013688	0.006879	0.009131	0.098528	0.014146	0.005554	0.003572	0.003376	-7863.099
144	0.003321	0.003594	0.006968	0.004058	0.00522	0.010996	0.005603	0.010446	0.075244	0.0137	0.00698	0.003293	0.002876	-7860.312
145	0.00485	0.006227	0.006063	0.003505	0.00574	0.010036	0.011131	0.010167	0.032876	0.017243	0.006718	0.004856	0.002198	-7867.387
146	0.00503	0.005587	0.007454	0.003708	0.003475	0.008361	0.010922	0.01171	0.010438	0.013806	0.005413	0.005242	0.001954	-7862.626
147	0.003937	0.007861	0.007202	0.014753	0.004919	0.012136	0.004395	0.006594	0.017224	0.015269	0.008128	0.004496	0.001401	-7868.014
148	0.003519	0.005368	0.010299	0.00831	0.004983	0.029958	0.005988	0.021069	0.012361	0.010723	0.006056	0.004872	0.002461	-7875.436
149	0.006886	0.003957	0.006007	0.011534	0.00435	0.026811	0.005817	0.015324	0.016198	0.010198	0.009298	0.004839	0.003279	-7860.316
150	0.006065	0.005353	0.008181	0.005039	0.005916	0.008192	0.005708	0.007445	0.0367	0.013484	0.007976	0.004148	0.00402	-7880.041
151	0.006032	0.005573	0.007092	0.025932	0.005933	0.021906	0.008838	0.01359	0.010958	0.013749	0.007998	0.005077	0.003126	-7875.15
152	0.003306	0.006765	0.006226	0.005565	0.004913	0.013109	0.00446	0.01443	0.018359	0.011645	0.006321	0.004137	0.002151	-7866.291
153	0.003722	0.006293	0.006563	0.004474	0.004082	0.012247	0.008386	0.008637	0.016792	0.012351	0.006675	0.004317	0.003033	-7883.248
